id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
type,CodeableConcept
subType,CodeableConcept
use,code
patient,Reference
created,dateTime
insurer,Reference
requestor,Reference
request,Reference
outcome,code
disposition,string
preAuthRef,string
preAuthPeriod,Period
payeeType,CodeableConcept
item,ClaimResponse::Item
addItem,ClaimResponse::AddItem
adjudication,ClaimResponse::Item::Adjudication
total,ClaimResponse::Total
payment,ClaimResponse::Payment
fundsReserve,CodeableConcept
formCode,CodeableConcept
form,Attachment
processNote,ClaimResponse::ProcessNote
communicationRequest,Reference
insurance,ClaimResponse::Insurance
error,ClaimResponse::Error
